Topic ID: D1410_TRAIN | Citance Number: 10 | Citation Text: abundant solid cervical mir-24 up-regulated mirnas cancer cancers | Reference Offset: [457-696', 5101-5216', 5602-5791'] | Reference Text: species mirna sequencing mirnas abundant rna mir-21 library mir-24 small caski subset lesions demonstrate cervical significantly mirnas cancers total clones species mirna mirnas cloned abundant mir-21 mir-24 | Discourse Facet: | Run ID: BLLIP 1
Topic ID: D1414_EVAL | Citance Number: 11 | Citation Text: breast differ patient-matched disseminated primary distant metastases tumors | Reference Offset: [33749-33901', 33568-33707', 34616-34762'] | Reference Text: breast detection itga5 patient-matched rdx primary distant metastases tumors rhoa breast patient-matched mir-31 primary distant metastases tumors breast patients mir-31 primary distant metastases tumors assessed | Discourse Facet: | Run ID: BLLIP 1
Topic ID: D1407_TRAIN | Citance Number: 5 | Citation Text: kinase lats1 aurora-a s83 lats2/kpm cycle-dependent phosphorylated residue phosphorylation homologous | Reference Offset: [36157-36278', 15449-15535', 19040-19246'] | Reference Text: kinase lats2 aurora-a s83 centrosomal candidate residue phosphorylation kinases kinase lats2 aurora-a s83 figure vitro residue lats2 mouse aurora-a antibody peptide phosphorylated residue mice s83 confirm | Discourse Facet: | Run ID: BLLIP 1
Topic ID: D1413_TRAIN | Citance Number: 9 | Citation Text: stem/progenitor regulating proliferation vitro tet2 differentiation myeloid suggested approaches recent | Reference Offset: [43625-43903', 1693-1890', 1904-2225'] | Reference Text: normal inhibition differentiation effects idh2 mutants stem/progenitor tet2 myeloid increase hematopoietic reduction stem/progenitor impaired marker tet2 differentiation idh1/2 hematopoietic suggesting finally mutant depletion hypermethylation loss mutations global differentiation idh2 induces mutants dna tet2 idh1/2 increase myeloid inhibit mutant profile | Discourse Facet: | Run ID: BLLIP 1
Topic ID: D1424_EVAL | Citance Number: 2 | Citation Text: lfa-1 molecule conformation affinity formation | Reference Offset: [1651-1922', 3816-3977', 476-609'] | Reference Text: limited interaction contact affinity sufficient ligands order tcr antigen tight low formation binds ligands area range cd2 adhesion participate molecule contact formation recognition antigen-presenting antigen requires formation | Discourse Facet: | Run ID: BLLIP 1
Topic ID: D1426_EVAL | Citance Number: 11 | Citation Text: chemokine immune trafficking play conditions critical 10 vitro fractalkine molecules adhesion molecule chemokines brain interactions | Reference Offset: [1727-2011', 2013-2244', 30664-30946'] | Reference Text: chemokine essential events trafficking molecular requires factors molecules adhesion chemotactic members processes work selective trafficking molecular subsets remain molecules adhesion chemokines functions complex chemokine class properties molecular cx3c represents nature fractalkine receptor molecules adhesion chemokines | Discourse Facet: | Run ID: BLLIP 1
Topic ID: D1427_EVAL | Citance Number: 8 | Citation Text: involves constitutively priming death bh3s mitochondrial | Reference Offset: [33038-33325', 6238-6433', 31748-31935'] | Reference Text: cellular demonstrate death assays mitochondrial signals electroporation transfected priming peptides bim treated 2b4 mcl-1 part reflect death show antiapoptotic models signaling family priming experimentally induced activator culture members additional permeabilization death signal mcl-1 mitochondrial | Discourse Facet: | Run ID: BLLIP 1
Topic ID: D1414_EVAL | Citance Number: 17 | Citation Text: genes disseminated distant accumulation relapse eventual survival cancer extravasation | Reference Offset: [1201-1487', 2118-2569', 13505-13681'] | Reference Text: site development attributable metastatic metastasis inhibition distant tumor steps influences colonization phenotypes initial primary invasion local survival extravasation specifically complex neoplastic distant secondary tumors leads primary extravasation tissues tumor invasion-metastasis process cascade involving survival events suggested regulates observations lung viability initial and/or mir-31 survival early extravasation | Discourse Facet: | Run ID: BLLIP 1
Topic ID: D1418_EVAL | Citance Number: 17 | Citation Text: mutations gatekeeper inhibitors ap24534 mutation structural recent kinase t315i point involved domain resistance bcr-abl inhibit mutant based | Reference Offset: [5924-6170', 2726-2843', 2966-3266'] | Reference Text: reveal structure acts gatekeeper mutation abl recent point kinase t315i domain x-ray mutant threonine kinase point involves mutations imatinib domain resistance binding bcr-abl inhibitor suggests treatment mutation potential abl clinically second-line clear present kinase patient identification imatinib domain active resistance bcr-abl inhibitor mutant therapy | Discourse Facet: | Run ID: BLLIP 1
Topic ID: D1419_TRAIN | Citance Number: 6 | Citation Text: patterns 2002 identify tumors subsets prognostic alizadeh multiple 2000 | Reference Offset: [5944-6313', 23455-23602', 44319-44486'] | Reference Text: microarrays single genes profiling leukemic determine 12 patients alizadeh utilized 1999 pediatric analyze prognostic approaches 2000 subtypes prognostic single collectively identify profiling selected prognostic classifiers genetic genes identify subgroups supervised | Discourse Facet: | Run ID: BLLIP 1
Topic ID: D1413_EVAL | Citance Number: 10 | Citation Text: mcf-7 assay renilla luciferase reporter plates transfected grown ng mutated | Reference Offset: [39855-39978', 21210-21297', 26626-26790'] | Reference Text: reporter constructs renilla relative calculated luciferase mcf-7 transfected expressing chimera vector transfected constructs luciferase | Discourse Facet: | Run ID: BLLIP 1
